No,Line,Tray,Time_Start,Time_End,Remarks1,Time_Start2,Time_End2,Remark2,Early,Late,Difference,Callus
98,1_3,2,,,,,,,,,,4
99,1_3,3,16:21,,,,,,16:21:00,16:21:00,0:00:00,5
100,1_3,4,15:15,,,,,,15:15:00,15:15:00,0:00:00,5
101,1_3,5,16:32,,,,,,16:32:00,16:32:00,0:00:00,4
102,1_3,6,16:53,,,16:09,,,16:09:00,16:53:00,0:44:00,4
103,1_3,7,16:34,,,15:33,,,15:33:00,16:34:00,1:01:00,5
104,1_3,8,16:23,,,,,,16:23:00,16:23:00,0:00:00,5
105,1_3,9,17:58,,,17:20,,,17:20:00,17:58:00,0:38:00,4
106,1_3,10,15:38,,,14:49,,,14:49:00,15:38:00,0:49:00,5
107,1_3,11,15:38,,,,,,15:38:00,15:38:00,0:00:00,4
108,1_3,12,15:07,,,,,,15:07:00,15:07:00,0:00:00,5
109,1_3,13,14:33,,,16:31,,,14:33:00,16:31:00,1:58:00,5
110,1_3,14,,,,17:10,,,17:10:00,17:10:00,0:00:00,4
111,1_3,15,15:01,,,14:44,,Calling,14:44:00,15:01:00,0:17:00,5
112,1_3,16,16:58,,,,,,16:58:00,16:58:00,0:00:00,5
113,1_3,1,16:06,,,,,,16:06:00,16:06:00,0:00:00,
114,1_3,2,15:44,,,15:03,,,15:03:00,15:44:00,0:41:00,5
115,1_3,3,16:39,,,17:21,,,16:39:00,17:21:00,0:42:00,4
116,1_3,4,14:19,,,,,,14:19:00,14:19:00,0:00:00,5
117,1_3,5,,,,16:57,,,16:57:00,16:57:00,0:00:00,5
118,1_3,6,,,,,,,,,,4
119,1_3,7,,,,16:07,,,16:07:00,16:07:00,0:00:00,4
120,1_3,8,17:04,,,,,,17:04:00,17:04:00,0:00:00,5
121,1_3,9,17:25,,,,,,17:25:00,17:25:00,0:00:00,5
122,1_3,10,15:24,,,,,,15:24:00,15:24:00,0:00:00,5
123,1_3,11,16:36,,,15:39,,,15:39:00,16:36:00,0:57:00,5
124,1_3,12,16:03,,,14:10,,Calling,14:10:00,16:03:00,1:53:00,4
125,1_3,13,15:57,,,17:00,,Calling 14:45,15:57:00,17:00:00,1:03:00,4
126,1_3,14,16:28,,,16:09,,,16:09:00,16:28:00,0:19:00,4
127,1_3,15,16:03,,,17:23,,,16:03:00,17:23:00,1:20:00,5
128,1_3,16,14:16,,,14:04,,,14:04:00,14:16:00,0:12:00,5
129,1_3,1,,,,,,,,,,5
130,1_3,2,,,,,,,,,,4
131,1_3,3,15:14,,,,,,15:14:00,15:14:00,0:00:00,5
132,R2,4,16:37,,,15:20,,,15:20:00,16:37:00,1:17:00,5
133,R2,5,,,,15:57,,,15:57:00,15:57:00,0:00:00,1
134,1_3,6,17:26,,,17:07,,,17:07:00,17:26:00,0:19:00,4
135,1_3,7,16:11,,,16:44,,,16:11:00,16:44:00,0:33:00,5
136,1_3,8,16:02,,,17:30,,,16:02:00,17:30:00,1:28:00,5
137,R2,9,,,,,,,,,,5
138,1_3,10,15:38,,,,,,15:38:00,15:38:00,0:00:00,5
139,1_3,11,16:03,,,15:39,,,15:39:00,16:03:00,0:24:00,4
140,1_3,12,,,,,,,,,,4
141,1_3,13,,,,16:47,,Calling 15:29,16:47:00,16:47:00,0:00:00,4
142,R2,14,16:57,,,16:48,,,16:48:00,16:57:00,0:09:00,4
143,1_3,15,15:26,,,16:02,,,15:26:00,16:02:00,0:36:00,4
144,1_3,16,15:13,,,,,,15:13:00,15:13:00,0:00:00,5
145,1_3,1,,,,16:01,,,16:01:00,16:01:00,0:00:00,4
146,1_3,2,16:49,,1 dead female,16:04,,,16:04:00,16:49:00,0:45:00,5
147,R2,3,,,,,,,,,,5
148,1_3,4,16:20,,,15:11,,,15:11:00,16:20:00,1:09:00,4
149,1_3,5,16:10,,,16:44,,,16:10:00,16:44:00,0:34:00,4
150,1_3,6,16:38,,,15:56,,,15:56:00,16:38:00,0:42:00,4
151,1_3,7,17:26,,,,,,17:26:00,17:26:00,0:00:00,5
152,1_4,8,,,,17:23,,,17:23:00,17:23:00,0:00:00,5
153,1_4,9,14:39,,,,,,14:39:00,14:39:00,0:00:00,5
154,1_5,10,14:39,,Calling,14:11,,Calling,14:11:00,14:39:00,0:28:00,3
155,1_5,11,14:06,,,14:58,,Calling,14:06:00,14:58:00,0:52:00,2
156,1_5,12,15:54,,,14:29,,,14:29:00,15:54:00,1:25:00,4
157,1_5,13,15:49,,,15:46,,,15:46:00,15:49:00,0:03:00,1
158,1_5,14,15:27,,,14:42,,,14:42:00,15:27:00,0:45:00,4
159,1_5,15,14:19,,,15:44,,Calling,14:19:00,15:44:00,1:25:00,1
160,1_5,16,15:01,,,14:32,,,14:32:00,15:01:00,0:29:00,1
